n_estimators,max_depth,min_leaf,threshold,precision,recall,f1,TP,FP,FN,TN
100,5,1,0.34,0.35611510791366907,1.0,0.5251989389920424,99,179,0,102
100,5,1,0.36,0.37358490566037733,1.0,0.5439560439560439,99,166,0,115
100,5,1,0.38,0.4008097165991903,1.0,0.5722543352601156,99,148,0,133
100,5,1,0.4,0.43043478260869567,1.0,0.601823708206687,99,131,0,150
100,5,1,0.42,0.46261682242990654,1.0,0.6325878594249201,99,115,0,166
100,5,1,0.44,0.48058252427184467,1.0,0.6491803278688525,99,107,0,174
100,5,1,0.46,0.5212765957446809,0.98989898989899,0.6829268292682926,98,90,1,191
100,5,1,0.48,0.5433526011560693,0.9494949494949495,0.6911764705882353,94,79,5,202
100,5,1,0.5,0.577922077922078,0.898989898989899,0.7035573122529645,89,65,10,216
100,5,1,0.52,0.6259541984732825,0.8282828282828283,0.7130434782608696,82,49,17,232
100,5,1,0.54,0.6521739130434783,0.7575757575757576,0.7009345794392523,75,40,24,241
100,5,1,0.56,0.7176470588235294,0.6161616161616161,0.6630434782608696,61,24,38,257
100,5,1,0.58,0.7833333333333333,0.47474747474747475,0.5911949685534591,47,13,52,268
100,5,1,0.6,0.7959183673469388,0.3939393939393939,0.5270270270270271,39,10,60,271
100,5,1,0.62,0.7857142857142857,0.3333333333333333,0.4680851063829786,33,9,66,272
100,5,1,0.64,0.84375,0.2727272727272727,0.41221374045801523,27,5,72,276
100,5,1,0.66,0.8571428571428571,0.12121212121212122,0.21238938053097345,12,2,87,279
100,5,1,0.68,0.8333333333333334,0.050505050505050504,0.09523809523809525,5,1,94,280
100,5,1,0.7,1.0,0.010101010101010102,0.02,1,0,98,281
100,5,1,0.72,0.0,0.0,0.0,0,0,99,281
100,5,1,0.74,0.0,0.0,0.0,0,0,99,281
100,5,1,0.76,0.0,0.0,0.0,0,0,99,281
100,5,1,0.78,0.0,0.0,0.0,0,0,99,281
100,5,1,0.8,0.0,0.0,0.0,0,0,99,281
100,5,5,0.2,0.2682926829268293,1.0,0.4230769230769231,99,270,0,11
100,5,5,0.22,0.27348066298342544,1.0,0.4295010845986985,99,263,0,18
100,5,5,0.24,0.2773109243697479,1.0,0.43421052631578955,99,258,0,23
100,5,5,0.26,0.28695652173913044,1.0,0.44594594594594594,99,246,0,35
100,5,5,0.28,0.30368098159509205,1.0,0.4658823529411765,99,227,0,54
100,5,5,0.3,0.32673267326732675,1.0,0.4925373134328358,99,204,0,77
100,5,5,0.32,0.33221476510067116,1.0,0.49874055415617125,99,199,0,82
100,5,5,0.34,0.34256055363321797,1.0,0.5103092783505154,99,190,0,91
